key,instruction,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_1,condition_2,condition_3,condition_4,condition_5
000000,a balanced path length with narrow characteristics is created,0,000000,1,region,,2.0,,,,
000001,a balanced path length with narrow characteristics is created,1,000001,1,region,,2.0,,,,
000002,a balanced path length with narrow characteristics is created,2,000002,1,region,,3.0,,,,
000003,a balanced path length with narrow characteristics is created,3,000003,1,region,,6.0,,,,
000004,a balanced path length with narrow characteristics is created,4,000004,1,region,,4.0,,,,
000005,a balanced path length with narrow characteristics is created,5,000005,1,region,,1.0,,,,
000006,a balanced path length with narrow characteristics is created,6,000006,1,region,,7.0,,,,
000007,a balanced path length with narrow characteristics is created,7,000007,1,region,,4.0,,,,
000008,a balanced path length with narrow characteristics is created,8,000008,1,region,,4.0,,,,
000009,a balanced path length with narrow characteristics is created,9,000009,1,region,,5.0,,,,
000010,a balanced path length with narrow characteristics is created,10,000010,1,region,,7.0,,,,
000011,a balanced path length with narrow characteristics is created,11,000011,1,region,,4.0,,,,
000012,a balanced path length with narrow characteristics is created,12,000012,1,region,,2.0,,,,
000013,a balanced path length with narrow characteristics is created,13,000013,1,region,,2.0,,,,
000014,a balanced path length with narrow characteristics is created,14,000014,1,region,,1.0,,,,
000015,a balanced path length with narrow characteristics is created,15,000015,1,region,,6.0,,,,
000016,a balanced path length with narrow characteristics is created,16,000016,1,region,,2.0,,,,
000017,a balanced path length with narrow characteristics is created,17,000017,1,region,,2.0,,,,
000018,a balanced path length with narrow characteristics is created,18,000018,1,region,,14.0,,,,
000019,a balanced path length with narrow characteristics is created,19,000019,1,region,,4.0,,,,
000020,a balanced path length with narrow characteristics is created,20,000020,1,region,,8.0,,,,
000021,a balanced path length with narrow characteristics is created,21,000021,1,region,,4.0,,,,
000022,a balanced path length with narrow characteristics is created,22,000022,1,region,,3.0,,,,
000023,a balanced path length with narrow characteristics is created,23,000023,1,region,,3.0,,,,
000024,a balanced path length with narrow characteristics is created,24,000024,1,region,,2.0,,,,
000025,a balanced path length with narrow characteristics is created,25,000025,1,region,,11.0,,,,
