index,key,instruction,instruction_slug,level_id,sample_id
0,000000,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,0
1,000001,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,1
2,000002,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,10
3,000003,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,11
4,000004,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,12
5,000005,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,13
6,000006,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,14
7,000007,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,15
8,000008,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,16
9,000009,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,17
10,000010,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,18
11,000011,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,19
12,000012,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,2
13,000013,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,20
14,000014,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,21
15,000015,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,22
16,000016,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,23
17,000017,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,24
18,000018,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,25
19,000019,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,26
20,000020,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,27
21,000021,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,28
22,000022,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,29
23,000023,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,3
24,000024,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,4
25,000025,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,5
26,000026,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,6
27,000027,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,7
28,000028,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,8
29,000029,a balanced path length with narrow characteristics is created,a_balanced_path_length_with_narrow_characteristics_is_created,51,9
30,000030,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,0
31,000031,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,1
32,000032,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,10
33,000033,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,11
34,000034,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,12
35,000035,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,13
36,000036,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,14
37,000037,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,15
38,000038,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,16
39,000039,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,17
40,000040,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,18
41,000041,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,19
42,000042,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,2
43,000043,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,20
44,000044,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,21
45,000045,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,22
46,000046,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,23
47,000047,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,24
48,000048,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,25
49,000049,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,26
50,000050,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,27
51,000051,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,28
52,000052,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,29
53,000053,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,3
54,000054,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,4
55,000055,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,5
56,000056,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,6
57,000057,a balanced path length with wide characteristics is created,a_balanced_path_length_with_wide_characteristics_is_created,55,7
