key,instruction_raw,instruction_uni,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_0,condition_1,condition_2,condition_3,condition_4
dm000000,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000000,Doom1_E1M1_000,0,region,,1.0,,,,
dm000001,The floor forms a few large disconnected areas.,The empty space forms a few large disconnected areas.,000001,Doom1_E1M1_001,0,region,,2.0,,,,
dm000002,"The dungeon has very few disconnected floor regions, with most passable space linked together.","The map has very few disconnected passable regions, with most empty space linked together.",000002,Doom1_E1M1_002,0,region,,1.0,,,,
dm000003,The map's floor forms a few large connected areas with little separation.,The map's empty and interactive space forms a few large connected areas with little separation.,000003,Doom1_E1M1_003,0,region,,1.0,,,,
dm000004,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000004,Doom1_E1M1_004,0,region,,1.0,,,,
dm000005,The floor forms one largely connected area with only a few disconnected pockets.,The empty space forms one largely connected area with only a few disconnected pockets.,000005,Doom1_E1M1_005,0,region,,3.0,,,,
dm000006,The map has very few disconnected floor regions.,"The map has very few disconnected passable regions, with most empty and interactive space forming one area.",000006,Doom1_E1M1_006,0,region,,3.0,,,,
dm000007,The floor forms a largely continuous area with only a few disconnected sections.,The empty space forms a largely continuous area with only a few disconnected sections.,000007,Doom1_E1M1_007,0,region,,1.0,,,,
dm000008,The floor forms one large connected area with only a few separated sections.,The empty space forms one large connected area with only a few separated sections.,000008,Doom1_E1M2_000,0,region,,2.0,,,,
dm000009,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000009,Doom1_E1M2_001,0,region,,2.0,,,,
dm000010,"The map has very few disconnected floor regions, with most areas joined into a small number of spaces.","The map has very few disconnected passable regions, with most areas joined into a small number of spaces.",000010,Doom1_E1M2_002,0,region,,2.0,,,,
dm000011,The floor is split into only a few disconnected regions.,The walkable space is split into only a few disconnected regions.,000011,Doom1_E1M2_003,0,region,,1.0,,,,
dm000012,The floor forms a very small number of connected areas.,The empty space forms a very small number of connected areas.,000012,Doom1_E1M2_004,0,region,,3.0,,,,
dm000013,"The map has very few disconnected floor regions, with most floors forming one large area.","The map has very few disconnected passable regions, with most walkable space forming one large area.",000013,Doom1_E1M2_005,0,region,,3.0,,,,
dm000014,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000014,Doom1_E1M2_006,0,region,,3.0,,,,
dm000015,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000015,Doom1_E1M2_007,0,region,,2.0,,,,
dm000016,The floor is split into only a few disconnected regions.,The empty space is split into only a few disconnected regions.,000016,Doom1_E1M2_008,0,region,,3.0,,,,
dm000017,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000017,Doom1_E1M2_009,0,region,,3.0,,,,
dm000018,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000018,Doom1_E1M2_010,0,region,,2.0,,,,
dm000019,"The dungeon has very few disconnected floor areas, with most space forming one large region.","The map has very few disconnected passable regions, with most space forming one large region.",000019,Doom1_E1M2_011,0,region,,3.0,,,,
dm000020,"The dungeon has very few disconnected floor regions, with most passable space joined together.","The map has very few disconnected empty regions, with most passable space joined together.",000020,Doom1_E1M2_012,0,region,,1.0,,,,
dm000021,The floor forms one large connected area with only a few separate sections.,The walkable space forms one large connected area with only a few separate sections.,000021,Doom1_E1M2_013,0,region,,2.0,,,,
dm000022,The map has very few disconnected floor regions.,The map has very few disconnected empty regions.,000022,Doom1_E1M2_014,0,region,,2.0,,,,
dm000023,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000023,Doom1_E1M2_015,0,region,,1.0,,,,
dm000024,"The dungeon has very few disconnected floor regions, with the passable space mostly linked together.","The map has very few disconnected passable regions, with the walkable space mostly linked together.",000024,Doom1_E1M2_016,0,region,,1.0,,,,
dm000025,The map is split into very few disconnected floor regions.,The map is split into very few disconnected passable regions.,000025,Doom1_E1M3_000,0,region,,1.0,,,,
dm000026,The floor forms one large connected area with only a few isolated pockets.,The walkable space forms one large connected area with only a few isolated pockets.,000026,Doom1_E1M3_001,0,region,,3.0,,,,
dm000027,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000027,Doom1_E1M3_002,0,region,,2.0,,,,
dm000028,The map has somewhat many disconnected floor areas.,The map has somewhat many disconnected passable regions.,000028,Doom1_E1M3_003,0,region,,7.0,,,,
dm000029,The map has a single connected floor area with only a few separated sections.,The map has a single connected empty area with only a few separated sections.,000029,Doom1_E1M3_004,0,region,,2.0,,,,
dm000030,The floor forms a single largely connected area.,The empty space forms a single largely connected area.,000030,Doom1_E1M3_005,0,region,,2.0,,,,
dm000031,The dungeon has a mostly continuous floor with only a few disconnected areas.,The map has mostly continuous empty space with only a few disconnected passable regions.,000031,Doom1_E1M3_006,0,region,,2.0,,,,
dm000032,"The floor is split into only a few disconnected regions, with walls and voids separating the space.","The empty space and interactive tiles form only a few disconnected regions, with walls breaking up the map.",000032,Doom1_E1M3_007,0,region,,2.0,,,,
dm000033,"The map has very few disconnected floor regions, with doors and stairs linking most of the space.","The map has very few disconnected passable regions, with interactive tiles linking most of the space.",000033,Doom1_E1M3_008,0,region,,1.0,,,,
dm000034,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000034,Doom1_E1M3_009,0,region,,3.0,,,,
dm000035,The floor is split into very few disconnected regions.,The walkable space is split into very few disconnected regions.,000035,Doom1_E1M3_010,0,region,,3.0,,,,
dm000036,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000036,Doom1_E1M3_011,0,region,,1.0,,,,
dm000037,The map is split into very few disconnected floor areas.,The map is split into very few disconnected passable regions.,000037,Doom1_E1M4_000,0,region,,2.0,,,,
dm000038,The floor forms a single large connected area with only a few separate sections.,The empty space forms a single large connected area with only a few separate sections.,000038,Doom1_E1M4_001,0,region,,3.0,,,,
dm000039,"The map has very few disconnected floor regions, with most areas linked together.","The map has very few disconnected passable regions, with most empty and interactive space connected together.",000039,Doom1_E1M4_002,0,region,,3.0,,,,
dm000040,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000040,Doom1_E1M4_003,0,region,,3.0,,,,
dm000041,The floor forms one large connected area with only a few separate sections.,The empty space forms one large connected area with only a few separate sections.,000041,Doom1_E1M4_004,0,region,,2.0,,,,
dm000042,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000042,Doom1_E1M4_005,0,region,,2.0,,,,
dm000043,"The map has very few disconnected floor areas, with most walkable space linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000043,Doom1_E1M4_006,0,region,,2.0,,,,
dm000044,The map has a very small number of disconnected floor regions.,The map has a very small number of disconnected passable regions.,000044,Doom1_E1M4_007,0,region,,2.0,,,,
dm000045,The floor forms very few disconnected areas.,The walkable space forms very few disconnected regions.,000045,Doom1_E1M4_008,0,region,,2.0,,,,
dm000046,"The floor forms a few large connected regions, with only minor separation.","The empty and interactive space forms a few large connected regions, with only minor separation.",000046,Doom1_E1M4_009,0,region,,2.0,,,,
dm000047,The floor forms one large connected area with only a few separate sections.,The walkable space forms one large connected area with only a few separate sections.,000047,Doom1_E1M4_010,0,region,,2.0,,,,
dm000048,The floor forms a largely connected space with very few disconnected regions.,The walkable space forms a largely connected area with very few disconnected regions.,000048,Doom1_E1M4_011,0,region,,2.0,,,,
dm000049,The floor forms a few large connected regions.,The empty space forms a few large connected regions.,000049,Doom1_E1M4_012,0,region,,1.0,,,,
dm000050,The floor forms a mostly contiguous area with very few disconnected regions.,The empty and interactive space forms a mostly contiguous area with very few disconnected regions.,000050,Doom1_E1M4_013,0,region,,2.0,,,,
dm000051,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000051,Doom1_E1M4_014,0,region,,1.0,,,,
dm000052,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000052,Doom1_E1M4_015,0,region,,1.0,,,,
dm000053,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000053,Doom1_E1M5_000,0,region,,2.0,,,,
dm000054,"The map has very few disconnected floor regions, with the passable area mostly linked together.","The map has very few disconnected passable regions, with the walkable area mostly linked together.",000054,Doom1_E1M5_001,0,region,,2.0,,,,
dm000055,The floor is divided into just a few disconnected areas.,The empty space is split into just a few disconnected regions.,000055,Doom1_E1M5_002,0,region,,2.0,,,,
dm000056,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000056,Doom1_E1M5_003,0,region,,2.0,,,,
dm000057,The floor is split into somewhat few disconnected regions.,The walkable area is split into somewhat few disconnected regions.,000057,Doom1_E1M5_004,0,region,,4.0,,,,
dm000058,"The map has very few disconnected floor areas, with the space mostly forming one continuous region.","The map has very few disconnected passable regions, with the walkable space mostly forming one continuous region.",000058,Doom1_E1M5_005,0,region,,2.0,,,,
dm000059,"The map has very few disconnected floor regions, with most passable space forming one main area.","The map has very few disconnected passable regions, with most empty space forming one main area.",000059,Doom1_E1M5_006,0,region,,3.0,,,,
dm000060,The floor forms a mostly continuous area with very few separate regions.,The empty space and interactives form a mostly continuous area with very few separate regions.,000060,Doom1_E1M5_007,0,region,,1.0,,,,
dm000061,"The map has very few connected FLOOR regions, with only a handful of separate areas.","The map has very few connected passable regions, with only a handful of separate areas.",000061,Doom1_E1M5_008,0,region,,3.0,,,,
dm000062,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000062,Doom1_E1M5_009,0,region,,1.0,,,,
dm000063,The map has somewhat few disconnected floor regions.,The map has somewhat few disconnected passable regions.,000063,Doom1_E1M5_010,0,region,,5.0,,,,
dm000064,"The map has somewhat few disconnected floor regions, with only a few separate areas linked by doors and stairs.","The map has somewhat few disconnected passable regions, with only a few separate areas linked by interactive tiles.",000064,Doom1_E1M5_011,0,region,,4.0,,,,
dm000065,"The floor forms somewhat few disconnected regions, with only a few separate areas around the map.","The walkable space forms somewhat few disconnected regions, with only a few separate areas around the map.",000065,Doom1_E1M5_012,0,region,,4.0,,,,
dm000066,The dungeon has very few disconnected floor areas.,The map has very few disconnected passable regions.,000066,Doom1_E1M5_013,0,region,,1.0,,,,
dm000067,The floor forms one large connected area with only a few separated sections.,The walkable space forms one large connected area with only a few separated sections.,000067,Doom1_E1M5_014,0,region,,2.0,,,,
dm000068,The map has very few disconnected floor areas.,The map has very few disconnected passable regions.,000068,Doom1_E1M5_015,0,region,,3.0,,,,
dm000069,"The map has very few disconnected floor regions, with most floor space joined together.","The map has very few disconnected passable regions, with most empty and interactive space joined together.",000069,Doom1_E1M6_000,0,region,,1.0,,,,
dm000070,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000070,Doom1_E1M6_001,0,region,,2.0,,,,
dm000071,The map has somewhat few disconnected passable regions.,The map has somewhat few disconnected passable regions.,000071,Doom1_E1M6_002,0,region,,4.0,,,,
dm000072,The floor forms very few disconnected regions.,The walkable space forms very few disconnected regions.,000072,Doom1_E1M6_003,0,region,,1.0,,,,
dm000073,"The map has very few disconnected passable regions, with floor forming a mostly continuous area.","The map has very few disconnected passable regions, with empty space forming a mostly continuous area.",000073,Doom1_E1M6_004,0,region,,2.0,,,,
dm000074,"The map has very few disconnected floor regions, with most walkable space linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000074,Doom1_E1M6_005,0,region,,3.0,,,,
dm000075,The floor forms a nearly continuous region with only a few separated sections.,The empty space forms a nearly continuous region with only a few separated sections.,000075,Doom1_E1M6_006,0,region,,1.0,,,,
dm000076,"The dungeon has very few disconnected passable areas, with floor, spawn, and item spaces forming mostly one connected region.","The map has very few disconnected passable regions, with empty, interactive, and collectable spaces forming mostly one connected area.",000076,Doom1_E1M6_007,0,region,,2.0,,,,
dm000077,The floor forms a mostly continuous area with only a few disconnected sections.,The empty space forms a mostly continuous area with only a few disconnected sections.,000077,Doom1_E1M6_008,0,region,,2.0,,,,
dm000078,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000078,Doom1_E1M6_009,0,region,,1.0,,,,
dm000079,"The dungeon has very few disconnected passable areas, with floors, spawn, and items mostly joined into large sections.","The map has very few disconnected passable regions, with empty, interactive, and collectable tiles mostly merged into large areas.",000079,Doom1_E1M6_010,0,region,,1.0,,,,
dm000080,The floor forms one large connected area with only a few separated sections.,The empty space forms one large connected area with only a few separated sections.,000080,Doom1_E1M6_011,0,region,,1.0,,,,
dm000081,The floor forms a very small number of disconnected areas.,The walkable space forms a very small number of disconnected regions.,000081,Doom1_E1M6_012,0,region,,1.0,,,,
dm000082,The dungeon has very few disconnected floor areas.,The map has very few disconnected passable regions.,000082,Doom1_E1M6_013,0,region,,3.0,,,,
dm000083,The map is split into very few disconnected floor regions.,The map is split into very few disconnected passable regions.,000083,Doom1_E1M6_014,0,region,,2.0,,,,
dm000084,The floor forms a few large connected areas with only slight separation.,The passable space forms a few large connected regions with only slight separation.,000084,Doom1_E1M6_015,0,region,,3.0,,,,
dm000085,The map has very few disconnected floor areas.,The map has very few disconnected passable regions.,000085,Doom1_E1M6_016,0,region,,1.0,,,,
dm000086,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000086,Doom1_E1M6_017,0,region,,3.0,,,,
dm000087,The dungeon is split into many disconnected floor regions.,The map is split into many disconnected passable regions.,000087,Doom1_E1M6_018,0,region,,8.0,,,,
dm000088,"The level has very few disconnected floor regions, with most areas connected.","The level has very few disconnected passable regions, with most empty and interactive space connected.",000088,Doom1_E1M6_019,0,region,,1.0,,,,
dm000089,"The map has very few disconnected floor regions, with one large main area dominating the layout.","The map has very few disconnected passable regions, with one large main area dominating the layout.",000089,Doom1_E1M6_020,0,region,,1.0,,,,
dm000090,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000090,Doom1_E1M6_021,0,region,,2.0,,,,
dm000091,The dungeon is split into very few connected floor regions.,The map has very few connected empty regions.,000091,Doom1_E1M6_022,0,region,,1.0,,,,
dm000092,"The dungeon has very few disconnected floor regions, with most areas forming one large connected space.","The map has very few disconnected passable regions, with most empty, interactive, and collectable tiles forming one large connected space.",000092,Doom1_E1M6_023,0,region,,2.0,,,,
dm000093,"The map has very few disconnected floor regions, with most passable space linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000093,Doom1_E1M7_000,0,region,,1.0,,,,
dm000094,The floor forms one large connected area with only a few separate pockets.,The empty space forms one large connected area with only a few separate pockets.,000094,Doom1_E1M7_001,0,region,,2.0,,,,
dm000095,The floor is split into somewhat few disconnected regions.,The walkable space is split into somewhat few disconnected regions.,000095,Doom1_E1M7_002,0,region,,4.0,,,,
dm000096,"The floor forms very few disconnected regions, with doors and items mostly within the same connected space.","The empty space forms very few disconnected regions, with interactive tiles and collectables mostly within the same connected area.",000096,Doom1_E1M7_003,0,region,,1.0,,,,
dm000097,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000097,Doom1_E1M7_004,0,region,,2.0,,,,
dm000098,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000098,Doom1_E1M7_005,0,region,,3.0,,,,
dm000099,"The dungeon has very few disconnected floor regions, with most passable space joined together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000099,Doom1_E1M7_006,0,region,,1.0,,,,
dm000100,The map has somewhat few connected floor regions.,The map has somewhat few connected passable regions.,000100,Doom1_E1M7_007,0,region,,5.0,,,,
dm000101,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000101,Doom1_E1M7_008,0,region,,3.0,,,,
dm000102,"The level has very few disconnected floor regions, with most floor tiles joined together.","The level has very few disconnected passable regions, with most passable tiles joined together.",000102,Doom1_E1M7_009,0,region,,2.0,,,,
dm000103,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000103,Doom1_E1M7_010,0,region,,2.0,,,,
dm000104,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000104,Doom1_E1M7_011,0,region,,1.0,,,,
dm000105,The map has somewhat many disconnected floor regions.,The map has somewhat many disconnected passable regions.,000105,Doom1_E1M7_012,0,region,,6.0,,,,
dm000106,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000106,Doom1_E1M7_013,0,region,,1.0,,,,
dm000107,"The map has very few disconnected floor regions, with most walkable space forming one main area.","The map has very few disconnected passable regions, with most empty, interactive, and collectable space forming one main area.",000107,Doom1_E1M7_014,0,region,,3.0,,,,
dm000108,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000108,Doom1_E1M7_015,0,region,,1.0,,,,
dm000109,"The floor forms a few large connected areas, with the spawn and items mostly in the same region.","The walkable space forms a few large connected regions, with interactive and collectable tiles mostly միաս in the same area.",000109,Doom1_E1M7_016,0,region,,3.0,,,,
dm000110,The dungeon has very few disconnected walkable areas.,The map has very few disconnected passable regions.,000110,Doom1_E1M7_017,0,region,,1.0,,,,
dm000111,The map has very few connected floor regions.,The map has very few connected passable regions.,000111,Doom1_E1M7_018,0,region,,1.0,,,,
dm000112,"The floor forms very few disconnected areas, with only a small number of separate regions.","The empty space forms very few disconnected areas, with only a small number of separate regions.",000112,Doom1_E1M7_019,0,region,,1.0,,,,
dm000113,"The map has very few disconnected floor regions, with floor mostly forming one large connected area.","The map has very few disconnected passable regions, with empty space mostly forming one large connected area.",000113,Doom1_E1M7_020,0,region,,1.0,,,,
dm000114,The floor forms a largely continuous area with only a few disconnected sections.,The empty space and interactives form a largely continuous area with only a few disconnected sections.,000114,Doom1_E1M8_000,0,region,,1.0,,,,
dm000115,The dungeon has very few disconnected floor areas.,The map has very few disconnected passable regions.,000115,Doom1_E1M8_001,0,region,,3.0,,,,
dm000116,The floor forms a mostly connected area with only a few separated regions.,The empty space forms a mostly connected area with only a few separated regions.,000116,Doom1_E1M9_000,0,region,,1.0,,,,
dm000117,The dungeon has very few disconnected floor areas.,The map has very few disconnected passable regions.,000117,Doom1_E1M9_001,0,region,,1.0,,,,
dm000118,"The map has very few disconnected floor regions, with most floor spaces linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000118,Doom1_E1M9_002,0,region,,3.0,,,,
dm000119,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000119,Doom1_E1M9_003,0,region,,1.0,,,,
dm000120,The map has somewhat few disconnected FLOOR regions.,The map has somewhat few disconnected passable regions.,000120,Doom1_E2M1_000,0,region,,4.0,,,,
dm000121,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000121,Doom1_E2M1_001,0,region,,2.0,,,,
dm000122,The map has a very small number of connected floor areas.,The map has a very small number of connected passable regions.,000122,Doom1_E2M1_002,0,region,,3.0,,,,
dm000123,The map has a few large connected floor areas.,The map has a few large connected passable areas.,000123,Doom1_E2M1_003,0,region,,1.0,,,,
dm000124,"The map has very few disconnected floor areas, with one main area and only a small number of separate pockets.","The map has very few disconnected passable regions, with one main area and only a small number of separate pockets.",000124,Doom1_E2M1_004,0,region,,3.0,,,,
dm000125,"The dungeon has very few disconnected floor regions, with most floors linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000125,Doom1_E2M1_005,0,region,,1.0,,,,
dm000126,"The dungeon has very few disconnected floor regions, with most floor, spawn, and item tiles forming one large connected area.","The map has very few disconnected passable regions, with most empty, interactive, and collectable tiles forming one large connected area.",000126,Doom1_E2M1_006,0,region,,3.0,,,,
dm000127,The floor forms a mostly continuous area with very few disconnected regions.,The empty space and interactive tiles form a mostly continuous area with very few disconnected regions.,000127,Doom1_E2M1_007,0,region,,2.0,,,,
dm000128,The floor forms one largely connected area with only a few separated sections.,The walkable space forms one largely connected area with only a few separated sections.,000128,Doom1_E2M1_008,0,region,,1.0,,,,
dm000129,The floor forms a single large connected region with only a few separate areas.,The empty space forms a single large connected region with only a few separate areas.,000129,Doom1_E2M2_000,0,region,,2.0,,,,
dm000130,The map has very few disconnected floor regions.,The map has very few disconnected empty regions.,000130,Doom1_E2M2_001,0,region,,2.0,,,,
dm000131,The map has very few disconnected floor regions.,The map has very few disconnected empty regions.,000131,Doom1_E2M2_002,0,region,,2.0,,,,
dm000132,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000132,Doom1_E2M2_003,0,region,,1.0,,,,
dm000133,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000133,Doom1_E2M2_004,0,region,,1.0,,,,
dm000134,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000134,Doom1_E2M2_005,0,region,,2.0,,,,
dm000135,The map has very few disconnected floor areas.,The map has very few disconnected passable regions.,000135,Doom1_E2M2_006,0,region,,3.0,,,,
dm000136,The floor forms a mostly continuous space with very few disconnected regions.,The empty space forms a mostly continuous area with very few disconnected regions.,000136,Doom1_E2M2_007,0,region,,3.0,,,,
dm000137,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000137,Doom1_E2M2_008,0,region,,2.0,,,,
dm000138,The map has a few large connected floor areas separated by thick walls.,The map has a few large connected empty areas separated by thick walls.,000138,Doom1_E2M2_009,0,region,,3.0,,,,
dm000139,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000139,Doom1_E2M2_010,0,region,,3.0,,,,
dm000140,The floor is split into very few disconnected areas.,The empty space is split into very few disconnected areas.,000140,Doom1_E2M2_011,0,region,,2.0,,,,
dm000141,The map has very few disconnected floor regions.,"The map has very few disconnected passable regions, with walkable space mostly unified.",000141,Doom1_E2M2_012,0,region,,2.0,,,,
dm000142,The floor is split into somewhat few disconnected regions.,The passable space is split into somewhat few disconnected regions.,000142,Doom1_E2M2_013,0,region,,5.0,,,,
dm000143,"The map has a very small number of connected floor areas, with only a few separate regions.","The map has a very small number of connected passable areas, with only a few separate regions.",000143,Doom1_E2M2_014,0,region,,1.0,,,,
dm000144,The dungeon has very few disconnected floor areas.,The map has very few disconnected passable regions.,000144,Doom1_E2M2_015,0,region,,2.0,,,,
dm000145,The floor forms one main connected area with only a few separate sections.,The passable space forms one main connected area with only a few separate sections.,000145,Doom1_E2M2_016,0,region,,3.0,,,,
dm000146,The dungeon has somewhat few disconnected floor areas.,The map has somewhat few disconnected passable regions.,000146,Doom1_E2M2_017,0,region,,4.0,,,,
dm000147,"The floor is split into only a few disconnected areas, with walls breaking up the map.","The empty space is split into only a few disconnected regions, with walls breaking up the map.",000147,Doom1_E2M2_018,0,region,,2.0,,,,
dm000148,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000148,Doom1_E2M2_019,0,region,,2.0,,,,
dm000149,The floor forms a very small number of disconnected regions.,The empty space forms a very small number of disconnected regions.,000149,Doom1_E2M2_020,0,region,,1.0,,,,
dm000150,"The map has very few disconnected floor regions, with most passable space linked together.","The map has very few disconnected passable regions, with most empty and interactive space linked together.",000150,Doom1_E2M2_021,0,region,,1.0,,,,
dm000151,The floor forms one largely connected area with only a few separate pockets.,The walkable space forms one largely connected area with only a few separate pockets.,000151,Doom1_E2M2_022,0,region,,2.0,,,,
dm000152,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000152,Doom1_E2M2_023,0,region,,2.0,,,,
dm000153,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000153,Doom1_E2M2_024,0,region,,1.0,,,,
dm000154,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000154,Doom1_E2M2_025,0,region,,2.0,,,,
dm000155,The map has very few disconnected floor regions.,The map has very few disconnected passable regions.,000155,Doom1_E2M2_026,0,region,,3.0,,,,
dm000156,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000156,Doom1_E2M2_027,0,region,,2.0,,,,
dm000157,The dungeon has somewhat few disconnected floor regions.,The map has somewhat few disconnected passable regions.,000157,Doom1_E2M2_028,0,region,,4.0,,,,
dm000158,The dungeon has very few separate floor regions.,The map has very few separate passable regions.,000158,Doom1_E2M2_029,0,region,,1.0,,,,
dm000159,"The map has very few disconnected floor regions, with most of the floor linked into a few large areas.","The map has very few disconnected passable regions, with most empty space linked into a few large areas.",000159,Doom1_E2M2_030,0,region,,1.0,,,,
dm000160,The map has somewhat few disconnected floor regions.,The map has somewhat few disconnected passable regions.,000160,Doom1_E2M2_031,0,region,,4.0,,,,
dm000161,"The map has very few disconnected floor areas, with the passable space mostly forming one large region.","The map has very few disconnected passable regions, with the walkable space mostly forming one large area.",000161,Doom1_E2M2_032,0,region,,3.0,,,,
dm000162,"The floor forms very few disconnected areas, with only a handful of separate regions.","The empty and interactive space forms very few disconnected regions, with only a handful of separate areas.",000162,Doom1_E2M2_033,0,region,,3.0,,,,
dm000163,The floor forms a largely connected area with only a few isolated sections.,The empty space forms a largely connected area with only a few isolated sections.,000163,Doom1_E2M2_034,0,region,,3.0,,,,
dm000164,The dungeon has very few disconnected floor regions.,The map has very few disconnected passable regions.,000164,Doom1_E2M2_035,0,region,,1.0,,,,
dm000165,The floor forms very few disconnected regions.,The walkable space forms very few disconnected regions.,000165,Doom1_E2M2_036,0,region,,2.0,,,,
dm000166,"The map has very few disconnected floor regions, with most passable space forming one large area.","The map has very few disconnected passable regions, with most empty space forming one large area.",000166,Doom1_E2M2_037,0,region,,1.0,,,,
dm000167,"The dungeon has very few disconnected floor regions, with floors mostly forming one large connected area.","The map has very few disconnected passable regions, with empty space mostly forming one large connected area.",000167,Doom1_E2M3_000,0,region,,1.0,,,,
dm000168,The floor forms one large connected area with only a few separate sections.,The empty space forms one large connected area with only a few separate sections.,000168,Doom1_E2M3_001,0,region,,2.0,,,,
dm000169,The floor forms a few large disconnected regions.,The empty space forms a few large disconnected regions.,000169,Doom1_E2M3_002,0,region,,2.0,,,,
