key,instruction_raw,instruction_uni,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_0,condition_1,condition_2,condition_3,condition_4
zl000000,The dungeon has few disconnected floor regions.,The map has few disconnected passable regions.,000000,tloz1_1_r0_c2,0,region,,0.0,,,,
zl000001,The dungeon has many separate floor regions.,The map has many separate empty regions.,000001,tloz1_1_r1_c0,0,region,,5.0,,,,
zl000002,The floor is split into many disconnected regions.,The empty space is split into many disconnected regions.,000002,tloz1_1_r1_c0_rot90,0,region,,5.0,,,,
zl000003,Few disconnected floor regions appear here.,Few disconnected empty regions appear here.,000003,tloz1_1_r1_c2,0,region,,1.0,,,,
zl000004,The floor is marginally split by walls.,The empty space is marginally split by walls.,000004,tloz1_1_r1_c2_rot90,0,region,,1.0,,,,
zl000005,The passable areas are sparse.,The empty spaces are sparse.,000005,tloz1_1_r1_c3,0,region,,1.0,,,,
zl000006,Passable floor regions are rare.,Passable empty regions are rare.,000006,tloz1_1_r1_c3_rot90,0,region,,1.0,,,,
zl000007,Few disconnected floor regions appear here.,Few disconnected passable regions appear here.,000007,tloz1_1_r1_c5,0,region,,1.0,,,,
zl000008,A few disconnected floor regions appear here.,A few disconnected empty regions appear here.,000008,tloz1_1_r2_c0,0,region,,1.0,,,,
zl000009,The dungeon has a marginally disconnected floor region.,The map has a marginally disconnected empty region.,000009,tloz1_1_r2_c0_rot90,0,region,,1.0,,,,
zl000010,Passable regions are nearly unified.,Passable regions are nearly unified.,000010,tloz1_1_r2_c1,0,region,,1.0,,,,
zl000011,The floor is mostly connected.,The empty space is mostly connected.,000011,tloz1_1_r2_c1_rot90,0,region,,1.0,,,,
zl000012,The floor is one connected region.,The empty space is one connected region.,000012,tloz1_1_r2_c2,0,region,,1.0,,,,
zl000013,The floor forms a largely connected region.,The empty space forms a largely connected region.,000013,tloz1_1_r2_c2_rot90,0,region,,1.0,,,,
zl000014,The dungeon has a marginally disconnected floor.,The map has marginally disconnected empty space.,000014,tloz1_1_r2_c3,0,region,,1.0,,,,
zl000015,Passable floor is mostly one connected region.,Passable empty space is mostly one connected region.,000015,tloz1_1_r2_c3_rot90,0,region,,1.0,,,,
zl000016,The dungeon has few disconnected floor regions.,The map has few disconnected empty regions.,000016,tloz1_1_r2_c4,0,region,,1.0,,,,
zl000017,Passable regions are rare.,Passable regions are rare.,000017,tloz1_1_r2_c4_rot90,0,region,,1.0,,,,
zl000018,The floor forms one sparse region.,The empty space forms one sparse region.,000018,tloz1_1_r2_c5,0,region,,1.0,,,,
zl000019,The dungeon has rare disconnected regions.,The map has rare disconnected passable regions.,000019,tloz1_1_r2_c5_rot90,0,region,,1.0,,,,
zl000020,The dungeon has a rare separated floor region.,The map has rare separated empty regions.,000020,tloz1_1_r3_c2,0,region,,1.0,,,,
zl000021,The floor forms one rare open region.,The empty space forms one rare open region.,000021,tloz1_1_r3_c2_rot90,0,region,,1.0,,,,
zl000022,The floor forms a sparse connected region.,The empty space forms a sparse connected region.,000022,tloz1_1_r3_c3,0,region,,1.0,,,,
zl000023,The floor is mostly one connected region.,The empty space is mostly one connected region.,000023,tloz1_1_r3_c3_rot90,0,region,,1.0,,,,
zl000024,The dungeon has one marginal floor region.,The map has one marginal empty region.,000024,tloz1_1_r3_c5,0,region,,1.0,,,,
zl000025,The dungeon has only a marginally disconnected floor region.,The map has only a marginally disconnected empty region.,000025,tloz1_1_r3_c5_rot90,0,region,,1.0,,,,
zl000026,FLOOR tiles form one mostly connected region.,empty tiles form one mostly connected region.,000026,tloz1_1_r4_c1,0,region,,1.0,,,,
zl000027,The floor forms one connected region.,The empty space forms one connected region.,000027,tloz1_1_r4_c1_rot90,0,region,,1.0,,,,
zl000028,Few disconnected floor regions appear here.,Few disconnected empty regions appear here.,000028,tloz1_1_r4_c2,0,region,,1.0,,,,
zl000029,The dungeon has a marginally connected floor area.,The map has a marginally connected empty area.,000029,tloz1_1_r4_c2_rot90,0,region,,1.0,,,,
zl000030,The floor is mostly connected.,The empty space is mostly connected.,000030,tloz1_1_r5_c1,0,region,,1.0,,,,
zl000031,The dungeon has one rare floor region.,The map has one rare passable region.,000031,tloz1_1_r5_c1_rot90,0,region,,1.0,,,,
zl000032,The floors form one open region.,The empty space forms one open region.,000032,tloz1_2_r0_c0,0,region,,1.0,,,,
