index,seen_game,unseen_game,reg_loss,cls_acc,done
0,pkdgzddmsk,,,,0
1,dgzddmsk,pk,0.16587,1.0,0
2,pkzddmsk,dg,0.16503,0.98246,0
3,pkdgdmsk,zd,0.19768,1.0,1
4,pkdgzdsk,dm,0.16908,0.999,1
5,pkdgzddm,sk,0.1496,1.0,1
6,zddmsk,pkdg,0.16039,0.95569,0
7,dgdmsk,pkzd,0.17427,0.99244,0
8,dgzdsk,pkdm,0.24903,0.99849,0
9,dgzddm,pksk,0.15689,1.0,0
10,pkdmsk,dgzd,0.19202,0.95773,0
11,pkzdsk,dgdm,0.16817,0.98832,0
12,pkzddm,dgsk,0.18162,0.9907,0
13,pkdgsk,zddm,0.20013,1.0,1
14,pkdgdm,zdsk,0.21579,1.0,1
15,pkdgzd,dmsk,0.17315,0.99938,1
16,dmsk,pkdgzd,0.17991,0.97988,0
17,zdsk,pkdgdm,0.2156,0.96155,0
18,zddm,pkdgsk,0.18537,0.97536,0
19,dgsk,pkzddm,0.22187,0.8402,1
20,dgdm,pkzdsk,0.18468,1.0,0
21,dgzd,pkdmsk,0.25151,0.99536,0
22,pksk,dgzddm,0.18969,0.97534,1
23,pkdm,dgzdsk,0.18452,0.91493,0
24,pkzd,dgdmsk,0.18859,0.98957,0
25,pkdg,zddmsk,0.19988,1.0,1
26,sk,pkdgzddm,0.20041,0.47793,1
27,dm,pkdgzdsk,0.18652,0.97665,0
28,zd,pkdgdmsk,0.23989,0.96571,0
29,dg,pkzddmsk,0.34775,0.5696,1
30,pk,dgzddmsk,0.18268,0.99353,1
