ratio,seen_ratio,game,unseen_games,seen_acc,unseen_acc,seen_reg,unseen_reg,seen_avg_diff,unseen_avg_diff,seen_norm_diff,unseen_norm_diff,doom_enum_0,doom_enum_1,doom_enum_2,doom_enum_3,doom_enum_4,dungeon_enum_0,dungeon_enum_1,dungeon_enum_2,dungeon_enum_3,dungeon_enum_4,pokemon_enum_0,pokemon_enum_1,pokemon_enum_2,pokemon_enum_3,pokemon_enum_4,sokoban_enum_0,sokoban_enum_1,sokoban_enum_2,sokoban_enum_3,sokoban_enum_4,zelda_enum_0,zelda_enum_1,zelda_enum_2,zelda_enum_3,zelda_enum_4,run_id,run_name,run_state,cfg_unseen_games,cfg_seen_ratio,cfg_seed
0.0,0.05,all,pkzd,1.0,1.0,0.0863463723659515,0.1786674822568893,0.0800866336235713,0.1885627913150587,1.0230859545556257,2.6023593651528487,0.0922291242965945,0.034651867886807,0.1684316832214457,0.1096940302082057,0.1895337830423503,0.1415834055462879,0.0916066878828509,0.0051837454658575,0.1182728778976615,0.1258498824856899,0.1030274894996662,0.0594767079514972,0.3089373326230863,0.1687355113224875,0.2279378771804974,0.0408258947166236,0.0336465679820458,0.0487959068087698,0.0005759122185519,0.0004181346938275,0.0663697322450795,0.0719991141243984,0.3647100875866325,0.2616294080311966,0.2528046525860453,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.01,0.05,all,pkzd,1.0,1.0,0.0852749310135841,0.1378160050213337,0.081148682492601,0.1420398321348743,1.0366533531562854,1.9602949489823835,0.0793207009771355,0.0386660225847934,0.1597825722933588,0.1168645865745046,0.1773821772353069,0.1492331481691616,0.0770677609249876,0.0161674543397455,0.125802939923683,0.1381372886675375,0.101770347253007,0.057817160746472,0.3053176528343034,0.099601481712478,0.2614577849681425,0.0337916453947892,0.0391884103192755,0.0635878597069712,0.0012237517757707,0.0010139185019943,0.0562563116110644,0.0638205804322895,0.1421493963137561,0.2082053782001849,0.1240022272770455,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.03,0.05,all,pkzd,1.0,1.0,0.0884083463152249,0.1355708552896976,0.0843383616573904,0.1397250068409776,1.0774006764658552,1.928347992532213,0.0963293411251571,0.0412160525930688,0.165144605834673,0.1134649211084764,0.213816493850302,0.1480003656884331,0.0850022855063377,0.0086441966399079,0.1200647992427728,0.1360742918476856,0.1106079610722575,0.0516807191115988,0.3074409319993315,0.083754047288048,0.2414051198981481,0.0306673582341219,0.0436140045748284,0.060881396231142,0.0011205766378788,0.0010347357460705,0.0604360655528827,0.0656357991067986,0.1275766746086233,0.2098029861693948,0.1389097636026928,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.05,0.05,all,pkzd,0.9996666666666668,1.0,0.0874177024165789,0.1229319380521774,0.0832274361386283,0.1271821549581059,1.0632088913529347,1.7552438088516782,0.094510459444589,0.0454920457398637,0.1713511053205854,0.1288525574380453,0.1890663509181625,0.1404890908085884,0.0795579783875366,0.0079668367565495,0.120555394065179,0.1355162894047757,0.1155354304989772,0.0556702891648826,0.2764033181673666,0.0694306916551545,0.2204481553814217,0.0351543252532546,0.0332076784653879,0.0656914643726302,0.0004855502831647,0.000514415421112,0.0659547984166052,0.0525792076399451,0.1277836519567405,0.1494710640821649,0.1385449426178009,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.1,0.05,all,pkzd,0.9996666666666668,1.0,0.0841607067584991,0.1119726092219352,0.0807188594145478,0.1148620612584379,1.0311624749135184,1.5852139159163203,0.0978787273720458,0.0374126741860775,0.163848455845401,0.0978961192261133,0.1772577817174228,0.141327743432415,0.0845069100557289,0.0021164062220699,0.1320437513716002,0.1375403039196811,0.1084202517620959,0.0643565247287858,0.2635777125991201,0.0616702841451774,0.2125093810760824,0.0293883028868082,0.0343881469575604,0.0736003113024443,0.000198948963407,0.0013783077594416,0.0464461455212056,0.0427612636434404,0.1241535716781429,0.0960026392271021,0.1287228382032264,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.15,0.05,all,pkzd,1.0,1.0,0.0829155326088269,0.1014856877624988,0.0800257850858471,0.1027806069649004,1.0223086302820967,1.418477490844411,0.1011889375470302,0.0339956220160139,0.16691520554695,0.0793195300740953,0.1752909903408451,0.1383171601971583,0.0893894887616481,0.0042006382712293,0.1274472473738335,0.1326689551039476,0.0984871757415989,0.0585094397350893,0.253349539791762,0.0399188531736609,0.174372235004361,0.0305188956292899,0.0325237412249023,0.0875242058079219,0.0001911794847512,0.0008949789080907,0.0473314878141995,0.0385155899744284,0.1048822030059847,0.1018205256564328,0.1106190197514868,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.2,0.05,all,pkzd,1.0,1.0,0.0778889565666516,0.0952676221132278,0.0750040941572051,0.0966026039960027,0.95815783226802,1.3332147315697551,0.0989334664686962,0.0415171128004155,0.1685022459268,0.0855565757377204,0.1693300172285416,0.1334982995518404,0.0780892846325935,0.0041555512161455,0.1043786094170974,0.1304096188802745,0.1012048504097544,0.0550071482604506,0.2607177816836299,0.0426263321705439,0.1922556770458697,0.032156215809487,0.0291127581991742,0.0492474251580469,6.916067631252753e-05,0.0001050706549312,0.037730544733191,0.0340465651530968,0.0779075898668345,0.0699160537227755,0.0946134969138808,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.3,0.05,all,pkzd,1.0,1.0,0.0802837401827176,0.0889990657269954,0.0777517556106152,0.0901962798795626,0.993258494059733,1.2448009069527504,0.0954569259451495,0.04168335047174,0.1721211400734984,0.0710318839364116,0.1661650261344589,0.1663480785059098,0.0929307742365475,0.0026658259948551,0.1032717420829351,0.1320919099919222,0.1050997122158458,0.0534970462322235,0.2224141288532745,0.0429036325403169,0.1911318569878804,0.0290564729555233,0.0293119137910143,0.0639619698512901,7.466914398827656e-05,0.0001046510439846,0.0406317015730061,0.0291053016719065,0.0717300936104912,0.0585228834003606,0.0869264417103204,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
1.0,0.05,all,pkzd,1.0,1.0,0.0794751975735028,0.0748200570642948,0.0782794771709643,0.0724583982673674,1.0,1.0,0.0926225728320854,0.0347534078866877,0.1753457605581794,0.0775598404554707,0.1582107519293655,0.161188731146096,0.0913955751311015,0.0025797989715886,0.1085109745793731,0.1372553146833544,0.0736014691010043,0.0469499664791559,0.2389022889948628,0.0355521506100857,0.1602821106032817,0.0272592257808994,0.0315015643984828,0.0755066447755665,0.0004772992252345,2.4695210978862293e-05,0.0154252897188501,0.0130824172078925,0.0542081035673618,0.0369041932855201,0.0496759931056595,2n9fgt2f,clipdec-unseen-game-all_unseen-pkzd_sr-0.05_md-ts_exp-def_0,finished,pkzd,0.05,0
0.0,0.0,all,pkzd,0.2006666666666666,0.2035,0.2624719998041788,0.2507454603910446,0.2640473528458408,0.2452160721211154,1.3036131316443922,3.5423334124874577,0.0765854385164049,0.0354762977742134,0.3768103461440016,0.2194229523533756,0.4174115820510967,0.1962862213452657,0.0965829440231981,0.5227884414719373,0.1801381711617554,0.31240466899342,0.1158980611544936,0.0650501055906048,0.3593156586090724,0.2171750766973869,0.4302465353566821,0.1008404071266586,0.0730608044257715,0.2204518277668258,0.471322457137562,0.6611277323961258,0.1247600432738517,0.109470228144997,0.1756057441234588,0.3409941418087063,0.5136451264519003,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
